cf,cm,mode,rload,rsrc,cprobe,fcross_hz,pm_deg,tdb_10hz
680p,470p,10,10k,2.611k,1f,827395,87.1021,70.2775
680p,470p,10,10k,2.611k,470p,841730,84.3877,70.2775
680p,470p,10,10k,2.611k,1n,844422,81.8265,70.2776
680p,470p,10,10k,2.611k,1.5n,834807,80.2365,70.2776
680p,470p,10,10k,2.611k,2.2n,810584,79.275,70.2776
680p,470p,10,10k,2.611k,2.7n,791092,79.2058,70.2776
680p,470p,10,10k,2.611k,3.3n,768599,79.5054,70.2777
680p,470p,10,10k,2.611k,4.7n,724994,80.8708,70.2778
820p,470p,0,100k,1m,1f,934250,65.8277,81.4173
820p,470p,0,100k,1m,470p,951186,62.9248,81.4173
820p,470p,0,100k,1m,1n,953808,59.9216,81.4173
820p,470p,0,100k,1m,1.5n,942086,57.8629,81.4173
820p,470p,0,100k,1m,2.2n,914808,56.2977,81.4173
820p,470p,0,100k,1m,2.7n,894207,55.8387,81.4173
820p,470p,0,100k,1m,3.3n,871472,55.7144,81.4173
820p,470p,0,100k,1m,4.7n,830173,56.2497,81.4173
820p,470p,0,100k,2.611k,1f,933894,65.0717,81.4173
820p,470p,0,100k,2.611k,470p,950806,62.1569,81.4173
820p,470p,0,100k,2.611k,1n,953428,59.1531,81.4173
820p,470p,0,100k,2.611k,1.5n,941727,57.1043,81.4173
820p,470p,0,100k,2.611k,2.2n,914496,55.56,81.4173
820p,470p,0,100k,2.611k,2.7n,893925,55.1168,81.4173
820p,470p,0,100k,2.611k,3.3n,871216,55.0099,81.4173
820p,470p,0,100k,2.611k,4.7n,829960,55.577,81.4173
820p,470p,0,10k,1m,1f,932970,65.8177,81.2287
820p,470p,0,10k,1m,470p,949682,62.9488,81.2287
820p,470p,0,10k,1m,1n,952367,59.9776,81.2288
820p,470p,0,10k,1m,1.5n,940919,57.9324,81.2288
820p,470p,0,10k,1m,2.2n,914081,56.3648,81.2288
820p,470p,0,10k,1m,2.7n,893720,55.8986,81.2289
820p,470p,0,10k,1m,3.3n,871184,55.7649,81.2289
820p,470p,0,10k,1m,4.7n,830120,56.2824,81.229
820p,470p,0,10k,2.611k,1f,932624,65.0625,81.2287
820p,470p,0,10k,2.611k,470p,949303,62.1821,81.2287
820p,470p,0,10k,2.611k,1n,951988,59.2102,81.2288
820p,470p,0,10k,2.611k,1.5n,940561,57.1746,81.2288
820p,470p,0,10k,2.611k,2.2n,913770,55.6278,81.2288
820p,470p,0,10k,2.611k,2.7n,893438,55.1771,81.2289
820p,470p,0,10k,2.611k,3.3n,870929,55.0606,81.2289
820p,470p,0,10k,2.611k,4.7n,829907,55.6098,81.229
820p,470p,10,100k,1m,1f,867678,83.4089,70.4452
820p,470p,10,100k,1m,470p,883000,80.5473,70.4452
820p,470p,10,100k,1m,1n,885476,77.827,70.4452
820p,470p,10,100k,1m,1.5n,874745,76.1412,70.4452
820p,470p,10,100k,1m,2.2n,848894,75.118,70.4452
820p,470p,10,100k,1m,2.7n,828657,75.0275,70.4452
820p,470p,10,100k,1m,3.3n,805738,75.3086,70.4452
820p,470p,10,100k,1m,4.7n,762380,76.632,70.4452
820p,470p,10,100k,2.611k,1f,867347,82.7125,70.4452
820p,470p,10,100k,2.611k,470p,882641,79.8405,70.4452
820p,470p,10,100k,2.611k,1n,885116,77.1195,70.4452
820p,470p,10,100k,2.611k,1.5n,874406,75.4425,70.4452
820p,470p,10,100k,2.611k,2.2n,848601,74.4387,70.4452
820p,470p,10,100k,2.611k,2.7n,828391,74.3634,70.4452
820p,470p,10,100k,2.611k,3.3n,805498,74.6619,70.4452
820p,470p,10,100k,2.611k,4.7n,762177,76.0185,70.4452
