mode,c124,c137,riso,rsrc,rload,ccable,pm_deg
0,4.465E-10,3.465E-10,47.47,2.611k,10k,4.7n,62.2291
0,4.935E-10,3.135E-10,46.53,2.5k,100k,2n,62.8335
0,4.935E-10,3.135E-10,46.53,2.5k,100k,2.3n,62.4543
0,4.935E-10,3.135E-10,46.53,2.5k,100k,2.5n,62.2728
0,4.935E-10,3.135E-10,46.53,2.5k,100k,2.7n,62.138
0,4.935E-10,3.135E-10,46.53,2.5k,100k,2.9n,62.0433
0,4.935E-10,3.135E-10,46.53,2.5k,100k,3.1n,61.9841
0,4.935E-10,3.135E-10,46.53,2.5k,100k,3.3n,61.9537
0,4.935E-10,3.135E-10,46.53,2.5k,100k,3.5n,61.9476
0,4.935E-10,3.135E-10,46.53,2.5k,100k,3.8n,61.9778
0,4.935E-10,3.135E-10,46.53,2.5k,100k,4.2n,62.071
0,4.935E-10,3.135E-10,46.53,2.5k,100k,4.7n,62.2497
0,4.935E-10,3.135E-10,46.53,2.5k,10k,2n,62.8883
0,4.935E-10,3.135E-10,46.53,2.5k,10k,2.3n,62.5073
0,4.935E-10,3.135E-10,46.53,2.5k,10k,2.5n,62.3243
0,4.935E-10,3.135E-10,46.53,2.5k,10k,2.7n,62.1876
0,4.935E-10,3.135E-10,46.53,2.5k,10k,2.9n,62.0909
0,4.935E-10,3.135E-10,46.53,2.5k,10k,3.1n,62.0297
0,4.935E-10,3.135E-10,46.53,2.5k,10k,3.3n,61.9971
0,4.935E-10,3.135E-10,46.53,2.5k,10k,3.5n,61.9889
0,4.935E-10,3.135E-10,46.53,2.5k,10k,3.8n,62.0161
0,4.935E-10,3.135E-10,46.53,2.5k,10k,4.2n,62.1053
0,4.935E-10,3.135E-10,46.53,2.5k,10k,4.7n,62.2796
0,4.935E-10,3.135E-10,46.53,2.611k,100k,2n,62.8076
0,4.935E-10,3.135E-10,46.53,2.611k,100k,2.3n,62.4286
0,4.935E-10,3.135E-10,46.53,2.611k,100k,2.5n,62.2474
0,4.935E-10,3.135E-10,46.53,2.611k,100k,2.7n,62.1128
0,4.935E-10,3.135E-10,46.53,2.611k,100k,2.9n,62.0182
0,4.935E-10,3.135E-10,46.53,2.611k,100k,3.1n,61.9593
0,4.935E-10,3.135E-10,46.53,2.611k,100k,3.3n,61.929
0,4.935E-10,3.135E-10,46.53,2.611k,100k,3.5n,61.9231
0,4.935E-10,3.135E-10,46.53,2.611k,100k,3.8n,61.9535
0,4.935E-10,3.135E-10,46.53,2.611k,100k,4.2n,62.047
0,4.935E-10,3.135E-10,46.53,2.611k,100k,4.7n,62.226
0,4.935E-10,3.135E-10,46.53,2.611k,10k,2n,62.8624
0,4.935E-10,3.135E-10,46.53,2.611k,10k,2.3n,62.4817
0,4.935E-10,3.135E-10,46.53,2.611k,10k,2.5n,62.2989
0,4.935E-10,3.135E-10,46.53,2.611k,10k,2.7n,62.1623
0,4.935E-10,3.135E-10,46.53,2.611k,10k,2.9n,62.0658
0,4.935E-10,3.135E-10,46.53,2.611k,10k,3.1n,62.0048
0,4.935E-10,3.135E-10,46.53,2.611k,10k,3.3n,61.9724
0,4.935E-10,3.135E-10,46.53,2.611k,10k,3.5n,61.9644
0,4.935E-10,3.135E-10,46.53,2.611k,10k,3.8n,61.9918
0,4.935E-10,3.135E-10,46.53,2.611k,10k,4.2n,62.0813
0,4.935E-10,3.135E-10,46.53,2.611k,10k,4.7n,62.2559
0,4.935E-10,3.135E-10,47.47,2.5k,100k,2n,62.8994
0,4.935E-10,3.135E-10,47.47,2.5k,100k,2.3n,62.5363
0,4.935E-10,3.135E-10,47.47,2.5k,100k,2.5n,62.3653
0,4.935E-10,3.135E-10,47.47,2.5k,100k,2.7n,62.24
0,4.935E-10,3.135E-10,47.47,2.5k,100k,2.9n,62.1544
0,4.935E-10,3.135E-10,47.47,2.5k,100k,3.1n,62.1037
0,4.935E-10,3.135E-10,47.47,2.5k,100k,3.3n,62.0806
0,4.935E-10,3.135E-10,47.47,2.5k,100k,3.5n,62.0815
0,4.935E-10,3.135E-10,47.47,2.5k,100k,3.8n,62.1209
0,4.935E-10,3.135E-10,47.47,2.5k,100k,4.2n,62.2238
0,4.935E-10,3.135E-10,47.47,2.5k,100k,4.7n,62.4118
0,4.935E-10,3.135E-10,47.47,2.5k,10k,2n,62.9538
0,4.935E-10,3.135E-10,47.47,2.5k,10k,2.3n,62.589
0,4.935E-10,3.135E-10,47.47,2.5k,10k,2.5n,62.4163
0,4.935E-10,3.135E-10,47.47,2.5k,10k,2.7n,62.289
0,4.935E-10,3.135E-10,47.47,2.5k,10k,2.9n,62.2014
0,4.935E-10,3.135E-10,47.47,2.5k,10k,3.1n,62.1486
0,4.935E-10,3.135E-10,47.47,2.5k,10k,3.3n,62.1233
0,4.935E-10,3.135E-10,47.47,2.5k,10k,3.5n,62.1221
0,4.935E-10,3.135E-10,47.47,2.5k,10k,3.8n,62.1584
0,4.935E-10,3.135E-10,47.47,2.5k,10k,4.2n,62.2574
0,4.935E-10,3.135E-10,47.47,2.5k,10k,4.7n,62.441
0,4.935E-10,3.135E-10,47.47,2.611k,100k,2n,62.8734
0,4.935E-10,3.135E-10,47.47,2.611k,100k,2.3n,62.5107
0,4.935E-10,3.135E-10,47.47,2.611k,100k,2.5n,62.3399
0,4.935E-10,3.135E-10,47.47,2.611k,100k,2.7n,62.2147
0,4.935E-10,3.135E-10,47.47,2.611k,100k,2.9n,62.1293
0,4.935E-10,3.135E-10,47.47,2.611k,100k,3.1n,62.0788
0,4.935E-10,3.135E-10,47.47,2.611k,100k,3.3n,62.0559
0,4.935E-10,3.135E-10,47.47,2.611k,100k,3.5n,62.057
0,4.935E-10,3.135E-10,47.47,2.611k,100k,3.8n,62.0966
0,4.935E-10,3.135E-10,47.47,2.611k,100k,4.2n,62.1999
0,4.935E-10,3.135E-10,47.47,2.611k,100k,4.7n,62.3881
0,4.935E-10,3.135E-10,47.47,2.611k,10k,2n,62.9279
0,4.935E-10,3.135E-10,47.47,2.611k,10k,2.3n,62.5633
0,4.935E-10,3.135E-10,47.47,2.611k,10k,2.5n,62.3909
0,4.935E-10,3.135E-10,47.47,2.611k,10k,2.7n,62.2638
0,4.935E-10,3.135E-10,47.47,2.611k,10k,2.9n,62.1763
0,4.935E-10,3.135E-10,47.47,2.611k,10k,3.1n,62.1237
0,4.935E-10,3.135E-10,47.47,2.611k,10k,3.3n,62.0986
0,4.935E-10,3.135E-10,47.47,2.611k,10k,3.5n,62.0975
0,4.935E-10,3.135E-10,47.47,2.611k,10k,3.8n,62.1341
0,4.935E-10,3.135E-10,47.47,2.611k,10k,4.2n,62.2334
0,4.935E-10,3.135E-10,47.47,2.611k,10k,4.7n,62.4173
0,4.935E-10,3.465E-10,46.53,2.5k,100k,2n,62.8911
0,4.935E-10,3.465E-10,46.53,2.5k,100k,2.3n,62.522
0,4.935E-10,3.465E-10,46.53,2.5k,100k,2.5n,62.3455
0,4.935E-10,3.465E-10,46.53,2.5k,100k,2.7n,62.2176
0,4.935E-10,3.465E-10,46.53,2.5k,100k,2.9n,62.1287
0,4.935E-10,3.465E-10,46.53,2.5k,100k,3.1n,62.0745
0,4.935E-10,3.465E-10,46.53,2.5k,100k,3.3n,62.0503
0,4.935E-10,3.465E-10,46.53,2.5k,100k,3.5n,62.0495
0,4.935E-10,3.465E-10,46.53,2.5k,100k,3.8n,62.0861
0,4.935E-10,3.465E-10,46.53,2.5k,100k,4.2n,62.1891
0,4.935E-10,3.465E-10,46.53,2.5k,100k,4.7n,62.3764
0,4.935E-10,3.465E-10,46.53,2.5k,10k,2n,62.9461
0,4.935E-10,3.465E-10,46.53,2.5k,10k,2.3n,62.5751
