k,c124,c137,riso,rsrc,rload,ccable,pm_deg
3,4.465E-10,3.135E-10,55.44,2.5k,10k,3.5n,62.2023
3,4.465E-10,3.135E-10,55.44,2.5k,10k,3.8n,62.3714
3,4.465E-10,3.135E-10,55.44,2.5k,10k,4.2n,62.6192
3,4.465E-10,3.135E-10,55.44,2.5k,10k,4.7n,62.94
3,4.465E-10,3.135E-10,56.56,2k,100k,2n,62.2054
3,4.465E-10,3.135E-10,56.56,2k,100k,2.3n,62.0974
3,4.465E-10,3.135E-10,56.56,2k,100k,2.6n,62.0949
3,4.465E-10,3.135E-10,56.56,2k,100k,2.9n,62.167
3,4.465E-10,3.135E-10,56.56,2k,100k,3.2n,62.2891
3,4.465E-10,3.135E-10,56.56,2k,100k,3.5n,62.4451
3,4.465E-10,3.135E-10,56.56,2k,100k,3.8n,62.6207
3,4.465E-10,3.135E-10,56.56,2k,100k,4.2n,62.8744
3,4.465E-10,3.135E-10,56.56,2k,100k,4.7n,63.1994
3,4.465E-10,3.135E-10,56.56,2k,10k,2n,62.2561
3,4.465E-10,3.135E-10,56.56,2k,10k,2.3n,62.1435
3,4.465E-10,3.135E-10,56.56,2k,10k,2.6n,62.1364
3,4.465E-10,3.135E-10,56.56,2k,10k,2.9n,62.204
3,4.465E-10,3.135E-10,56.56,2k,10k,3.2n,62.322
3,4.465E-10,3.135E-10,56.56,2k,10k,3.5n,62.4743
3,4.465E-10,3.135E-10,56.56,2k,10k,3.8n,62.6466
3,4.465E-10,3.135E-10,56.56,2k,10k,4.2n,62.8966
3,4.465E-10,3.135E-10,56.56,2k,10k,4.7n,63.2176
3,4.465E-10,3.135E-10,56.56,2.5k,100k,2n,62.073
3,4.465E-10,3.135E-10,56.56,2.5k,100k,2.3n,61.9667
3,4.465E-10,3.135E-10,56.56,2.5k,100k,2.6n,61.9658
3,4.465E-10,3.135E-10,56.56,2.5k,100k,2.9n,62.0394
3,4.465E-10,3.135E-10,56.56,2.5k,100k,3.2n,62.1628
3,4.465E-10,3.135E-10,56.56,2.5k,100k,3.5n,62.32
3,4.465E-10,3.135E-10,56.56,2.5k,100k,3.8n,62.4966
3,4.465E-10,3.135E-10,56.56,2.5k,100k,4.2n,62.7517
3,4.465E-10,3.135E-10,56.56,2.5k,100k,4.7n,63.0779
3,4.465E-10,3.135E-10,56.56,2.5k,10k,2n,62.1238
3,4.465E-10,3.135E-10,56.56,2.5k,10k,2.3n,62.0129
3,4.465E-10,3.135E-10,56.56,2.5k,10k,2.6n,62.0073
3,4.465E-10,3.135E-10,56.56,2.5k,10k,2.9n,62.0764
3,4.465E-10,3.135E-10,56.56,2.5k,10k,3.2n,62.1957
3,4.465E-10,3.135E-10,56.56,2.5k,10k,3.5n,62.3492
3,4.465E-10,3.135E-10,56.56,2.5k,10k,3.8n,62.5226
3,4.465E-10,3.135E-10,56.56,2.5k,10k,4.2n,62.7738
3,4.465E-10,3.135E-10,56.56,2.5k,10k,4.7n,63.0962
3,4.465E-10,3.465E-10,55.44,2k,100k,2n,62.1417
3,4.465E-10,3.465E-10,55.44,2k,100k,2.3n,62.0236
3,4.465E-10,3.465E-10,55.44,2k,100k,2.6n,62.0125
3,4.465E-10,3.465E-10,55.44,2k,100k,2.9n,62.0796
3,4.465E-10,3.465E-10,55.44,2k,100k,3.2n,62.1969
3,4.465E-10,3.465E-10,55.44,2k,100k,3.5n,62.351
3,4.465E-10,3.465E-10,55.44,2k,100k,3.8n,62.5253
3,4.465E-10,3.465E-10,55.44,2k,100k,4.2n,62.7786
3,4.465E-10,3.465E-10,55.44,2k,100k,4.7n,63.1063
3,4.465E-10,3.465E-10,55.44,2k,10k,2n,62.193
3,4.465E-10,3.465E-10,55.44,2k,10k,2.3n,62.0705
3,4.465E-10,3.465E-10,55.44,2k,10k,2.6n,62.0546
3,4.465E-10,3.465E-10,55.44,2k,10k,2.9n,62.1173
3,4.465E-10,3.465E-10,55.44,2k,10k,3.2n,62.2306
3,4.465E-10,3.465E-10,55.44,2k,10k,3.5n,62.3809
3,4.465E-10,3.465E-10,55.44,2k,10k,3.8n,62.5519
3,4.465E-10,3.465E-10,55.44,2k,10k,4.2n,62.8014
