mode,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
3db,2.611k,1,47p,872223,72.9364,77.7255,10k
3db,2.611k,1,100p,874261,72.6337,77.7255,10k
3db,2.611k,1,220p,878441,71.9437,77.7255,10k
3db,2.611k,1,470p,884953,70.5137,77.7255,10k
3db,2.611k,1,1n,887742,67.7857,77.7255,10k
3db,2.611k,1,1.5n,878188,65.9142,77.7256,10k
3db,2.611k,1,2.2n,854375,64.489,77.7256,10k
3db,2.611k,1,2.7n,835568,64.0883,77.7256,10k
3db,2.611k,1,3.3n,814190,64.017,77.7257,10k
3db,2.611k,1,4.7n,773892,64.6561,77.7258,10k
3db,2.611k,2,1f,870340,73.2027,77.7255,10k
3db,2.611k,2,47p,872286,72.9337,77.7255,10k
3db,2.611k,2,100p,874507,72.6273,77.7255,10k
3db,2.611k,2,220p,879572,71.9232,77.7255,10k
3db,2.611k,2,470p,890278,70.4086,77.7255,10k
3db,2.611k,2,1n,914184,66.9519,77.7254,10k
3db,2.611k,2,1.5n,937960,63.3583,77.7254,10k
3db,2.611k,2,2.2n,972274,57.7472,77.7254,10k
3db,2.611k,2,2.7n,996145,53.3488,77.7254,10k
3db,2.611k,2,3.3n,1.02133E+06,47.7918,77.7254,10k
3db,2.611k,2,4.7n,1.04722E+06,35.5943,77.7254,10k
10db,1m,1,1f,486331,107.826,70.4373,100k
10db,1m,1,47p,486919,107.707,70.4373,100k
10db,1m,1,100p,487550,107.572,70.4373,100k
10db,1m,1,220p,488849,107.265,70.4373,100k
10db,1m,1,470p,490977,106.623,70.4373,100k
10db,1m,1,1n,492526,105.302,70.4373,100k
10db,1m,1,1.5n,490266,104.18,70.4373,100k
10db,1m,1,2.2n,482380,102.887,70.4373,100k
10db,1m,1,2.7n,474565,102.173,70.4373,100k
10db,1m,1,3.3n,464119,101.514,70.4373,100k
10db,1m,1,4.7n,439759,100.582,70.4373,100k
10db,1m,2,1f,486331,107.826,70.4373,100k
10db,1m,2,47p,486933,107.707,70.4373,100k
10db,1m,2,100p,487611,107.572,70.4373,100k
10db,1m,2,220p,489146,107.263,70.4373,100k
