var,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
b_tip,1m,1,1.5n,894410,58.8597,81.2104,10k
b_tip,1m,1,2.2n,871483,57.1777,81.2105,10k
b_tip,1m,1,2.7n,853513,56.589,81.2105,10k
b_tip,1m,1,3.3n,833192,56.311,81.2105,10k
b_tip,1m,1,4.7n,795234,56.5682,81.2106,10k
b_tip,1k,1,1f,886987,66.0797,81.2103,10k
b_tip,1k,1,47p,888785,65.8248,81.2103,10k
b_tip,1k,1,100p,890715,65.5344,81.2103,10k
b_tip,1k,1,220p,894762,64.8653,81.2103,10k
b_tip,1k,1,470p,901072,63.4574,81.2103,10k
b_tip,1k,1,1n,903704,60.6839,81.2104,10k
b_tip,1k,1,1.5n,894374,58.6803,81.2104,10k
b_tip,1k,1,2.2n,871451,57.0028,81.2105,10k
b_tip,1k,1,2.7n,853484,56.4177,81.2105,10k
b_tip,1k,1,3.3n,833165,56.1437,81.2105,10k
b_tip,1k,1,4.7n,795211,56.4083,81.2106,10k
b_tip,2.5k,1,1f,886862,65.8148,81.2103,10k
b_tip,2.5k,1,47p,888660,65.5595,81.2103,10k
b_tip,2.5k,1,100p,890588,65.2686,81.2103,10k
b_tip,2.5k,1,220p,894630,64.5985,81.2103,10k
b_tip,2.5k,1,470p,900937,63.189,81.2103,10k
b_tip,2.5k,1,1n,903568,60.4152,81.2104,10k
b_tip,2.5k,1,1.5n,894245,58.4145,81.2104,10k
b_tip,2.5k,1,2.2n,871338,56.7436,81.2105,10k
b_tip,2.5k,1,2.7n,853381,56.1635,81.2105,10k
b_tip,2.5k,1,3.3n,833072,55.8953,81.2105,10k
b_tip,2.5k,1,4.7n,795132,56.1707,81.2106,10k
b_tip,2.571k,1,1f,886854,65.8023,81.2103,10k
b_tip,2.571k,1,47p,888651,65.547,81.2103,10k
b_tip,2.571k,1,100p,890580,65.256,81.2103,10k
b_tip,2.571k,1,220p,894621,64.5859,81.2103,10k
b_tip,2.571k,1,470p,900928,63.1764,81.2103,10k
b_tip,2.571k,1,1n,903560,60.4026,81.2104,10k
b_tip,2.571k,1,1.5n,894237,58.4021,81.2104,10k
b_tip,2.571k,1,2.2n,871331,56.7314,81.2105,10k
b_tip,2.571k,1,2.7n,853374,56.1516,81.2105,10k
b_tip,2.571k,1,3.3n,833066,55.8836,81.2105,10k
b_tip,2.571k,1,4.7n,795126,56.1595,81.2106,10k
b_tip,2.611k,1,1f,886850,65.7953,81.2103,10k
b_tip,2.611k,1,47p,888647,65.54,81.2103,10k
b_tip,2.611k,1,100p,890576,65.249,81.2103,10k
b_tip,2.611k,1,220p,894616,64.5789,81.2103,10k
b_tip,2.611k,1,470p,900923,63.1693,81.2103,10k
b_tip,2.611k,1,1n,903555,60.3955,81.2104,10k
b_tip,2.611k,1,1.5n,894232,58.395,81.2104,10k
b_tip,2.611k,1,2.2n,871327,56.7246,81.2105,10k
