modo,s,nome,t,target,code,i_meas,err_db,i(vls),i(vlp),v(mir_e2_s),v(ldr_s_a),v(mir_e2_p),v(ldr_p_a)
comp,P,riposo,25,1e-08,1192,9.825875076728e-09,-0.15257523315598046,9.82587547339e-09,9.825875076728e-09,4.899999900791,2.524088710256,4.899999900791,2.524088706115
comp,P,d0.75,25,1.414214e-05,2222,1.369298764599e-05,-0.2803383178756322,9.82587547339e-09,1.369298764599e-05,4.899999900791,2.524088710256,4.899861713917,3.268256423836
comp,P,d1,25,0.02,3252,0.01373225421067,-3.2657632240467156,9.82587453771e-09,0.01373225421067,4.899999900791,2.524088621253,4.761301213776,4.115648341058
comp,S,cal_2mA,25,0.002,2925,0.0018340268368,-0.7524861874842144,0.0018340268368,9.825873002606e-09,4.881476871055,3.78976545452,4.899999900791,2.524088605195
comp,P,cal_2mA,25,0.002,2925,0.0018340268368,-0.7524861874842144,9.825873408943e-09,0.0018340268368,4.899999900791,2.524088609445,4.881476871055,3.78976545452
nocomp,S,d0,25,0.02,3252,0.01373225421073,-3.2657632240087637,0.01373225421073,9.825873828208e-09,4.761301213776,4.115648341059,4.899999900791,2.524088613831
nocomp,S,d0.1,25,0.0002,2598,0.0001916729050067,-0.3693854113519415,0.0001916729050067,9.825875076728e-09,4.898064222172,3.541237393122,4.899999900791,2.524088706115
nocomp,S,d0.45,25,4.5e-06,2059,4.354067500044e-06,-0.2863471251379987,4.354067500044e-06,9.825875076728e-09,4.899956028714,3.150411556246,4.899999900791,2.524088706115
nocomp,S,d0.75,25,1.9e-07,1610,1.853396831358e-07,-0.21570369508936568,1.853396831358e-07,9.825875076728e-09,4.899998128356,2.825956694838,4.899999900791,2.524088706115
nocomp,S,riposo,25,1e-08,1192,9.82587547339e-09,-0.1525748825142037,9.82587547339e-09,9.825875076728e-09,4.899999900791,2.524088710256,4.899999900791,2.524088706115
nocomp,P,riposo,25,1e-08,1192,9.825875076728e-09,-0.15257523315598046,9.82587547339e-09,9.825875076728e-09,4.899999900791,2.524088710256,4.899999900791,2.524088706115
nocomp,P,d0.75,25,1.414214e-05,2222,1.369298764599e-05,-0.2803383178756322,9.82587547339e-09,1.369298764599e-05,4.899999900791,2.524088710256,4.899861713917,3.268256423836
