col0,col1,col2,col3,col4,col5,col6,col7
5.628e-05,0.173146948,5.628e-05,0.483246237,5.628e-05,0.531214646,5.628e-05,1.3689843
5.728e-05,0.176090721,5.728e-05,0.49254977,5.728e-05,0.540510166,5.728e-05,1.37835286
5.828e-05,0.179027542,5.828e-05,0.501831928,5.828e-05,0.549784297,5.828e-05,1.3876999
5.928e-05,0.181957295,5.928e-05,0.511092387,5.928e-05,0.559036715,5.928e-05,1.39702508
6.028e-05,0.184879865,6.028e-05,0.520330736,6.028e-05,0.56826701,6.028e-05,1.406328
6.128e-05,0.187795136,6.128e-05,0.529546658,6.128e-05,0.577474864,6.128e-05,1.41560831
6.228e-05,0.190702994,6.228e-05,0.538739739,6.228e-05,0.586659865,6.228e-05,1.42486564
6.328e-05,0.193603323,6.328e-05,0.547909669,6.328e-05,0.595821701,6.328e-05,1.43409964
6.428e-05,0.196496008,6.428e-05,0.557056031,6.428e-05,0.604959958,6.428e-05,1.44330991
6.528e-05,0.199380937,6.528e-05,0.566178519,6.528e-05,0.614074329,6.528e-05,1.45249612
6.628e-05,0.202257994,6.628e-05,0.575276718,6.628e-05,0.623164399,6.628e-05,1.46165789
6.728e-05,0.205127066,6.728e-05,0.584350325,6.728e-05,0.632229865,6.728e-05,1.47079488
6.828e-05,0.20798804,6.828e-05,0.593398924,6.828e-05,0.641270314,6.828e-05,1.47990669
6.928e-05,0.210840804,6.928e-05,0.602422216,6.928e-05,0.650285444,6.928e-05,1.488993
7.028e-05,0.213685243,7.028e-05,0.611419787,7.028e-05,0.659274843,7.028e-05,1.49805342
7.128e-05,0.216521247,7.128e-05,0.620391338,7.128e-05,0.668238213,7.128e-05,1.50708762
7.228e-05,0.219348703,7.228e-05,0.629336461,7.228e-05,0.677175144,7.228e-05,1.51609522
7.328e-05,0.222167499,7.328e-05,0.638254856,7.328e-05,0.686085338,7.328e-05,1.52507588
7.428e-05,0.224977525,7.428e-05,0.647146117,7.428e-05,0.694968389,7.428e-05,1.53402924
7.528e-05,0.227778668,7.528e-05,0.656009947,7.528e-05,0.703824,7.528e-05,1.54295495
7.628e-05,0.23057082,7.628e-05,0.664845942,7.628e-05,0.712651769,7.628e-05,1.55185264
7.728e-05,0.233353869,7.728e-05,0.673653807,7.728e-05,0.721451399,7.728e-05,1.56072199
7.828e-05,0.236127705,7.828e-05,0.682433143,7.828e-05,0.730222492,7.828e-05,1.56956262
7.928e-05,0.23889222,7.928e-05,0.691183652,7.928e-05,0.738964751,7.928e-05,1.57837421
8.028e-05,0.241647303,8.028e-05,0.699904941,8.028e-05,0.747677783,8.028e-05,1.58715638
8.128e-05,0.244392847,8.128e-05,0.708596712,8.128e-05,0.756361291,8.128e-05,1.59590881
