cella,gruppo,variante,gm,f_hz,amp,rl,grandezza,uscita,picco,t_picco,soglia,esito,esiti
gm0x3_lz_i,1,ldr_v4_td6_BB,0a3,1000,0,100k,B2,FIXJACK1,7.578e-09,7.520000,0.0001,regge,sotto
gm0x3_lz_c,1,ldr_v4_td6_BB,0a3,1000,0,100k,A_ins,MAINJACK,2.698e-05,8.000031,0.0001,regge,sotto
gm0x3_lz_c,1,ldr_v4_td6_BB,0a3,1000,0,100k,A_rel,MAINJACK,1.438e-08,11.323302,0.0001,regge,sotto
gm0x3_lz_c,1,ldr_v4_td6_BB,0a3,1000,0,100k,B2,MAINJACK,7.318e-08,8.026979,0.0001,regge,sotto
gm3x0_lz_i,1,ldr_v4_td6_BB,3a0,1000,0,100k,A_ins,MAINJACK,5.884e-09,2.362646,0.0001,regge,sotto
gm3x0_lz_i,1,ldr_v4_td6_BB,3a0,1000,0,100k,B2,FIXJACK1,7.578e-09,7.520000,0.0001,regge,sotto
gm3x0_lz_c,1,ldr_v4_td6_BB,3a0,1000,0,100k,A_ins,MAINJACK,2.696e-05,8.000031,0.0001,regge,sotto
gm3x0_lz_c,1,ldr_v4_td6_BB,3a0,1000,0,100k,A_rel,MAINJACK,1.013e-08,11.323219,0.0001,regge,sotto
gm3x0_lz_c,1,ldr_v4_td6_BB,3a0,1000,0,100k,B2,MAINJACK,7.04e-08,8.026979,0.0001,regge,sotto
gm3x10_lz_i,1,ldr_v4_td6_BB,3a10,1000,0,100k,A_ins,MAINJACK,5.884e-09,2.362646,0.0001,regge,sotto
